trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client,budget_par_jour,part_vol_budget,sejour_long,meteo_risque,client_business,hebergement_luxe,region_destination,distance_vol_categorie,destination_luxe,imprevu_present,imprevu_transport,imprevu_meteo,budget_non_respecte,gravite_imprevu,budget_tendu
14,solo,7607.9,sydney,printemps,19,hôtel,820.22,ensoleillé,randonnée,2,annulation,1,1,séjour mitigé.,400.4157894736842,0.10781161687193576,1.0,0.0,0.0,0.0,oceanie,long,1.0,1.0,1.0,0.0,0.0,3,0.0
15,business,12985.57,new york,été,9,hôtel,1631.27,pluie,randonnée,4,retard_vol,1,1,excellent séjour.,1442.841111111111,0.12562174783240165,0.0,1.0,1.0,0.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,2,0.0
16,solo,6125.88,rome,automne,21,appartement,1211.76,nuageux,business,1,aucun,0,0,séjour mitigé.,291.7085714285714,0.19780994730552998,1.0,0.0,0.0,0.0,europe,court,1.0,0.0,0.0,0.0,1.0,0,0.0
17,senior,8193.32,new york,hiver,17,appartement,1494.6,pluie,business,2,aucun,0,1,séjour mitigé.,481.96,0.1824168957150459,1.0,1.0,0.0,0.0,amerique du nord,long,1.0,0.0,0.0,0.0,0.0,0,0.0
19,famille,12221.95,rome,printemps,4,villa,1206.0,variable,culture,2,aucun,0,1,séjour mitigé.,3055.4875,0.09867492503242117,0.0,1.0,0.0,1.0,europe,court,1.0,0.0,0.0,0.0,0.0,0,0.0
20,business,10416.72,tokyo,printemps,5,appartement,529.64,ensoleillé,plage,3,annulation,1,1,séjour mitigé.,2083.344,0.050845179672680076,0.0,0.0,1.0,0.0,asie,long,1.0,1.0,1.0,0.0,0.0,3,0.0
21,famille,8186.44,bali,automne,20,appartement,1236.69,variable,business,2,aucun,0,1,séjour mitigé.,409.322,0.15106566468452712,1.0,1.0,0.0,0.0,asie,long,1.0,0.0,0.0,0.0,0.0,0,0.0
22,solo,10407.99,rome,automne,5,appartement,1617.2,pluie,plage,5,retard_vol,1,0,excellent séjour.,2081.598,0.1553806258461048,0.0,1.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,1.0,2,0.0
23,famille,10261.51,lisbonne,hiver,16,resort,1194.54,ensoleillé,plage,1,bagages,1,0,séjour mitigé.,641.344375,0.1164097681530301,1.0,0.0,0.0,1.0,europe,court,0.0,1.0,1.0,0.0,1.0,1,0.0
24,solo,13391.63,dubaï,automne,3,villa,1648.46,pluie,business,5,météo,1,1,excellent séjour.,4463.876666666666,0.12309629223626997,0.0,1.0,0.0,1.0,inconnu,inconnu,,1.0,0.0,1.0,0.0,1,0.0
25,famille,5884.06,tokyo,hiver,14,villa,427.89,pluie,culture,1,aucun,0,0,séjour mitigé.,420.29,0.07272019659894698,1.0,1.0,0.0,1.0,asie,long,1.0,0.0,0.0,0.0,1.0,0,0.0
26,couple,954.98,lisbonne,hiver,8,villa,776.88,variable,business,1,retard_vol,1,1,séjour mitigé.,119.3725,0.8135039477266539,0.0,1.0,0.0,1.0,europe,court,0.0,1.0,1.0,0.0,0.0,2,1.0
27,senior,14732.22,lisbonne,été,15,resort,631.15,variable,plage,5,bagages,1,1,excellent séjour.,982.1479999999999,0.04284147263616753,1.0,1.0,0.0,1.0,europe,court,0.0,1.0,1.0,0.0,0.0,1,0.0
28,business,10572.54,lisbonne,été,21,resort,606.79,ensoleillé,culture,5,bagages,1,0,excellent séjour.,503.45428571428573,0.057393020031137255,1.0,0.0,1.0,1.0,europe,court,0.0,1.0,1.0,0.0,1.0,1,0.0
29,solo,14826.2,bali,automne,21,villa,1357.46,nuageux,gastronomie,2,retard_vol,1,0,séjour mitigé.,706.0095238095239,0.09155818753288097,1.0,0.0,0.0,1.0,asie,long,1.0,1.0,1.0,0.0,1.0,2,0.0
30,business,2403.24,dubaï,été,8,appartement,1727.18,variable,culture,4,météo,1,0,excellent séjour.,300.405,0.7186881043924037,0.0,1.0,1.0,0.0,inconnu,inconnu,,1.0,0.0,1.0,1.0,1,1.0
31,couple,1497.43,lisbonne,printemps,9,hôtel,1185.28,variable,culture,2,météo,1,0,séjour mitigé.,166.38111111111112,0.7915428434050339,0.0,1.0,0.0,0.0,europe,court,0.0,1.0,0.0,1.0,1.0,1,1.0
32,senior,14400.28,new york,automne,20,villa,343.17,pluie,gastronomie,1,retard_vol,1,1,séjour mitigé.,720.014,0.02383078662359343,1.0,1.0,0.0,1.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,2,0.0
33,famille,11390.91,dubaï,printemps,21,resort,134.0,variable,randonnée,1,bagages,1,0,séjour mitigé.,542.4242857142857,0.011763766020449639,1.0,1.0,0.0,1.0,inconnu,inconnu,,1.0,1.0,0.0,1.0,1,0.0
34,couple,4132.88,rome,été,7,villa,1348.67,ensoleillé,randonnée,2,météo,1,0,séjour mitigé.,590.4114285714286,0.3263269197266797,0.0,0.0,0.0,1.0,europe,court,1.0,1.0,0.0,1.0,1.0,1,0.0
35,business,7427.8,bali,hiver,10,villa,1602.58,variable,gastronomie,1,retard_vol,1,1,séjour mitigé.,742.78,0.21575432833409622,0.0,1.0,1.0,1.0,asie,long,1.0,1.0,1.0,0.0,0.0,2,0.0
36,couple,8629.37,paris,printemps,4,villa,1796.66,nuageux,culture,2,météo,1,0,séjour mitigé.,2157.3425,0.20820291631949955,0.0,0.0,0.0,1.0,europe,court,1.0,1.0,0.0,1.0,1.0,1,0.0
37,couple,9354.51,sydney,été,12,villa,1795.83,ensoleillé,gastronomie,3,bagages,1,1,séjour mitigé.,779.5425,0.1919747800793414,0.0,0.0,0.0,1.0,oceanie,long,1.0,1.0,1.0,0.0,0.0,1,0.0
38,business,13023.12,new york,printemps,13,hôtel,165.31,ensoleillé,plage,5,aucun,0,0,excellent séjour.,1001.7784615384616,0.012693578804464674,0.0,0.0,1.0,0.0,amerique du nord,long,1.0,0.0,0.0,0.0,1.0,0,0.0
39,senior,853.14,lisbonne,été,6,appartement,577.9,pluie,randonnée,1,retard_vol,1,1,séjour mitigé.,142.19,0.6773800314133671,0.0,1.0,0.0,0.0,europe,court,0.0,1.0,1.0,0.0,0.0,2,1.0
40,senior,5736.58,dubaï,automne,17,villa,164.47,nuageux,culture,5,aucun,0,0,excellent séjour.,337.44588235294117,0.028670392463802475,1.0,0.0,0.0,1.0,inconnu,inconnu,,0.0,0.0,0.0,1.0,0,0.0
41,business,5227.96,tokyo,été,16,appartement,851.56,pluie,culture,2,bagages,1,0,séjour mitigé.,326.7475,0.16288571450431907,1.0,1.0,1.0,0.0,asie,long,1.0,1.0,1.0,0.0,1.0,1,0.0
42,business,5142.1,tokyo,été,15,appartement,954.2,ensoleillé,randonnée,5,bagages,1,1,excellent séjour.,342.8066666666667,0.18556620835845278,1.0,0.0,1.0,0.0,asie,long,1.0,1.0,1.0,0.0,0.0,1,0.0
43,solo,13696.57,new york,printemps,10,hôtel,348.33,ensoleillé,business,2,annulation,1,1,séjour mitigé.,1369.657,0.02543191470565258,0.0,0.0,0.0,0.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,3,0.0
44,solo,13525.7,rome,hiver,3,villa,595.68,nuageux,culture,5,annulation,1,1,excellent séjour.,4508.566666666667,0.04404060418314763,0.0,0.0,0.0,1.0,europe,court,1.0,1.0,1.0,0.0,0.0,3,0.0
45,business,4100.91,tokyo,été,14,appartement,750.07,ensoleillé,culture,3,aucun,0,0,séjour mitigé.,292.92214285714283,0.18290330682702133,1.0,0.0,1.0,0.0,asie,long,1.0,0.0,0.0,0.0,1.0,0,0.0
46,senior,10110.99,paris,été,14,hôtel,1163.0,nuageux,culture,4,météo,1,0,excellent séjour.,722.2135714285714,0.11502335577426147,1.0,0.0,0.0,0.0,europe,court,1.0,1.0,0.0,1.0,1.0,1,0.0
47,famille,11526.28,sydney,été,15,villa,1541.26,nuageux,randonnée,1,bagages,1,0,séjour mitigé.,768.4186666666667,0.1337170361990165,1.0,0.0,0.0,1.0,oceanie,long,1.0,1.0,1.0,0.0,1.0,1,0.0
48,couple,9297.44,lisbonne,hiver,11,villa,1085.6,ensoleillé,business,5,aucun,0,0,excellent séjour.,845.2218181818182,0.11676332409781616,0.0,0.0,0.0,1.0,europe,court,0.0,0.0,0.0,0.0,1.0,0,0.0
49,business,10193.15,new york,printemps,7,resort,307.18,ensoleillé,randonnée,5,retard_vol,1,1,excellent séjour.,1456.1642857142856,0.030135924616041167,0.0,0.0,1.0,1.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,2,0.0
50,couple,13659.38,paris,printemps,21,appartement,1366.22,ensoleillé,gastronomie,4,aucun,0,0,excellent séjour.,650.4466666666666,0.1000206451537332,1.0,0.0,0.0,0.0,europe,court,1.0,0.0,0.0,0.0,1.0,0,0.0
51,couple,6298.38,new york,été,7,villa,1191.79,ensoleillé,randonnée,2,retard_vol,1,1,séjour mitigé.,899.7685714285715,0.1892216728746122,0.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,2,0.0
52,couple,11568.18,paris,printemps,15,appartement,1196.77,variable,randonnée,2,bagages,1,0,séjour mitigé.,771.212,0.10345361154477195,1.0,1.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,1.0,1,0.0
53,business,1535.43,sydney,automne,3,appartement,1308.71,pluie,business,4,météo,1,1,excellent séjour.,511.81,0.8523410380154094,0.0,1.0,1.0,0.0,oceanie,long,1.0,1.0,0.0,1.0,0.0,1,1.0
54,business,2101.65,rome,printemps,5,appartement,1572.69,pluie,business,1,météo,1,1,séjour mitigé.,420.33000000000004,0.748312040539576,0.0,1.0,1.0,0.0,europe,court,1.0,1.0,0.0,1.0,0.0,1,1.0
55,solo,4271.55,dubaï,automne,9,villa,1274.38,variable,randonnée,2,retard_vol,1,0,séjour mitigé.,474.6166666666667,0.298341351500041,0.0,1.0,0.0,1.0,inconnu,inconnu,,1.0,1.0,0.0,1.0,2,0.0
56,couple,6164.98,rome,hiver,15,appartement,1235.25,nuageux,gastronomie,2,bagages,1,1,séjour mitigé.,410.9986666666666,0.20036561351375026,1.0,0.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,0.0,1,0.0
57,business,2661.97,sydney,hiver,5,villa,1475.38,nuageux,culture,2,retard_vol,1,1,séjour mitigé.,532.394,0.5542436616490796,0.0,0.0,1.0,1.0,oceanie,long,1.0,1.0,1.0,0.0,0.0,2,1.0
58,senior,6102.08,lisbonne,printemps,12,villa,1009.15,nuageux,plage,2,météo,1,0,séjour mitigé.,508.50666666666666,0.16537803503067805,0.0,0.0,0.0,1.0,europe,court,0.0,1.0,0.0,1.0,1.0,1,0.0
59,business,4646.58,lisbonne,hiver,7,villa,841.25,nuageux,gastronomie,2,météo,1,0,séjour mitigé.,663.7971428571428,0.18104713574284742,0.0,0.0,1.0,1.0,europe,court,0.0,1.0,0.0,1.0,1.0,1,0.0
60,solo,14936.62,new york,été,15,resort,1199.42,ensoleillé,culture,3,météo,1,0,séjour mitigé.,995.7746666666667,0.08030063026307156,1.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,0.0,1.0,1.0,1,0.0
61,couple,10432.85,new york,printemps,12,resort,1032.05,nuageux,gastronomie,4,retard_vol,1,1,excellent séjour.,869.4041666666667,0.09892311305156308,0.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,2,0.0
62,senior,7891.24,rome,été,16,resort,1190.78,ensoleillé,culture,2,météo,1,0,séjour mitigé.,493.2025,0.15089897151778428,1.0,0.0,0.0,1.0,europe,court,1.0,1.0,0.0,1.0,1.0,1,0.0
63,couple,4858.33,rome,hiver,10,resort,1326.68,variable,gastronomie,2,retard_vol,1,1,séjour mitigé.,485.83299999999997,0.2730732576831957,0.0,1.0,0.0,1.0,europe,court,1.0,1.0,1.0,0.0,0.0,2,0.0
64,famille,4903.8,lisbonne,été,8,villa,645.25,ensoleillé,plage,3,météo,0,1,séjour mitigé.,612.975,0.1315816305722093,0.0,0.0,0.0,1.0,europe,court,0.0,1.0,0.0,1.0,0.0,1,0.0
65,business,1652.62,rome,printemps,4,appartement,948.98,pluie,culture,1,retard_vol,1,1,séjour mitigé.,413.155,0.5742275901296124,0.0,1.0,1.0,0.0,europe,court,1.0,1.0,1.0,0.0,0.0,2,1.0
66,couple,9703.95,lisbonne,automne,15,villa,828.65,variable,plage,2,bagages,1,1,séjour mitigé.,646.9300000000001,0.08539306158832227,1.0,1.0,0.0,1.0,europe,court,0.0,1.0,1.0,0.0,0.0,1,0.0
67,business,1590.34,rome,automne,3,appartement,1085.72,ensoleillé,business,4,météo,0,0,excellent séjour.,530.1133333333333,0.6826967818202397,0.0,0.0,1.0,0.0,europe,court,1.0,1.0,0.0,1.0,1.0,1,1.0
68,famille,8401.42,new york,automne,10,resort,1161.43,ensoleillé,plage,2,météo,1,0,séjour mitigé.,840.142,0.13824210669148787,0.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,0.0,1.0,1.0,1,0.0
69,senior,12479.47,bali,printemps,17,hôtel,1068.25,variable,culture,2,retard_vol,1,0,séjour mitigé.,734.0864705882352,0.08560059040968888,1.0,1.0,0.0,0.0,asie,long,1.0,1.0,1.0,0.0,1.0,2,0.0
70,couple,3835.27,tokyo,été,12,villa,591.17,ensoleillé,randonnée,2,retard_vol,0,1,séjour mitigé.,319.60583333333335,0.1541403864656204,0.0,0.0,0.0,1.0,asie,long,1.0,1.0,1.0,0.0,0.0,2,0.0
71,couple,11292.57,paris,automne,13,appartement,1490.79,nuageux,plage,3,retard_vol,1,1,séjour mitigé.,868.6592307692307,0.1320151214471108,0.0,0.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,0.0,2,0.0
72,solo,2187.78,sydney,hiver,4,appartement,1152.43,variable,business,3,météo,0,1,séjour mitigé.,546.945,0.5267577178692556,0.0,1.0,0.0,0.0,oceanie,long,1.0,1.0,0.0,1.0,0.0,1,1.0
73,famille,12406.78,lisbonne,été,20,appartement,914.14,ensoleillé,gastronomie,1,retard_vol,0,0,séjour mitigé.,620.339,0.07368068104697592,1.0,0.0,0.0,0.0,europe,court,0.0,1.0,1.0,0.0,1.0,2,0.0
74,famille,7327.12,rome,hiver,18,appartement,1006.62,pluie,culture,2,retard_vol,1,0,séjour mitigé.,407.0622222222222,0.13738276430575724,1.0,1.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,1.0,2,0.0
75,famille,5316.27,tokyo,été,13,hôtel,688.82,ensoleillé,plage,3,météo,1,1,séjour mitigé.,408.9438461538462,0.12956828753994812,0.0,0.0,0.0,0.0,asie,long,1.0,1.0,0.0,1.0,0.0,1,0.0
76,couple,11518.82,new york,hiver,15,resort,1127.6,nuageux,gastronomie,3,retard_vol,1,1,séjour mitigé.,767.9213333333333,0.09789197157347714,1.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,2,0.0
77,senior,3963.36,tokyo,hiver,10,hôtel,620.57,nuageux,culture,4,retard_vol,1,0,excellent séjour.,396.336,0.1565767429655646,0.0,0.0,0.0,0.0,asie,long,1.0,1.0,1.0,0.0,1.0,2,0.0
78,business,4004.78,new york,printemps,4,resort,1171.66,variable,culture,3,aucun,0,0,séjour mitigé.,1001.195,0.292565384365683,0.0,1.0,1.0,1.0,amerique du nord,long,1.0,0.0,0.0,0.0,1.0,0,0.0
80,solo,2648.94,tokyo,hiver,8,villa,717.25,nuageux,randonnée,2,bagages,0,1,séjour mitigé.,331.1175,0.27076868483242356,0.0,0.0,0.0,1.0,asie,long,1.0,1.0,1.0,0.0,0.0,1,0.0
81,couple,7913.09,sydney,été,13,appartement,1085.17,variable,culture,2,retard_vol,1,1,séjour mitigé.,608.6992307692308,0.1371360618923834,0.0,1.0,0.0,0.0,oceanie,long,1.0,1.0,1.0,0.0,0.0,2,0.0
82,senior,12784.87,new york,hiver,15,hôtel,1417.32,variable,gastronomie,3,météo,0,0,séjour mitigé.,852.3246666666668,0.11085916399619236,1.0,1.0,0.0,0.0,amerique du nord,long,1.0,1.0,0.0,1.0,1.0,1,0.0
83,senior,11425.81,new york,hiver,15,villa,1106.9,nuageux,culture,5,aucun,0,1,excellent séjour.,761.7206666666666,0.09687715794328806,1.0,0.0,0.0,1.0,amerique du nord,long,1.0,0.0,0.0,0.0,0.0,0,0.0
84,famille,14419.35,paris,automne,15,hôtel,1028.22,nuageux,plage,3,bagages,1,1,séjour mitigé.,961.2900000000001,0.0713083460766262,1.0,0.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,0.0,1,0.0
85,couple,12035.15,bali,hiver,15,villa,1389.27,pluie,culture,2,aucun,0,0,séjour mitigé.,802.3433333333334,0.11543437348101188,1.0,1.0,0.0,1.0,asie,long,1.0,0.0,0.0,0.0,1.0,0,0.0
86,business,5372.11,new york,été,6,appartement,906.04,variable,business,2,annulation,1,0,séjour mitigé.,895.3516666666666,0.16865626355379917,0.0,1.0,1.0,0.0,amerique du nord,long,1.0,1.0,1.0,0.0,1.0,3,0.0
87,business,1647.76,dubaï,hiver,3,hôtel,1362.15,pluie,culture,1,retard_vol,0,0,séjour mitigé.,549.2533333333333,0.8266677185997962,0.0,1.0,1.0,0.0,inconnu,inconnu,,1.0,1.0,0.0,1.0,2,1.0
88,business,4113.67,lisbonne,automne,7,appartement,638.96,ensoleillé,culture,3,bagages,1,0,séjour mitigé.,587.6671428571428,0.1553260227485433,0.0,0.0,1.0,0.0,europe,court,0.0,1.0,1.0,0.0,1.0,1,0.0
89,senior,5746.63,lisbonne,été,10,hôtel,724.68,ensoleillé,gastronomie,2,météo,1,0,séjour mitigé.,574.663,0.1261052129682962,0.0,0.0,0.0,0.0,europe,court,0.0,1.0,0.0,1.0,1.0,1,0.0
90,famille,11511.49,new york,été,13,hôtel,1141.9,variable,plage,4,aucun,0,1,excellent séjour.,885.4992307692307,0.09919654188988568,0.0,1.0,0.0,0.0,amerique du nord,long,1.0,0.0,0.0,0.0,0.0,0,0.0
91,famille,17274.55,paris,printemps,20,resort,1357.49,ensoleillé,culture,3,annulation,0,1,séjour mitigé.,863.7275,0.07858323371665253,1.0,0.0,0.0,1.0,europe,court,1.0,1.0,1.0,0.0,0.0,3,0.0
92,couple,5581.32,bali,printemps,7,appartement,1268.48,variable,culture,4,retard_vol,0,0,excellent séjour.,797.3314285714285,0.22727240151075373,0.0,1.0,0.0,0.0,asie,long,1.0,1.0,1.0,0.0,1.0,2,0.0
93,famille,14646.06,paris,hiver,16,appartement,1200.91,pluie,culture,2,météo,1,1,séjour mitigé.,915.37875,0.08199543085307585,1.0,1.0,0.0,0.0,europe,court,1.0,1.0,0.0,1.0,0.0,1,0.0
94,solo,9807.66,bali,automne,16,resort,1180.83,pluie,gastronomie,1,bagages,1,0,séjour mitigé.,612.97875,0.12039874954882204,1.0,1.0,0.0,1.0,asie,long,1.0,1.0,1.0,0.0,1.0,1,0.0
95,famille,9233.03,new york,été,10,villa,863.16,ensoleillé,plage,3,météo,1,0,séjour mitigé.,923.3030000000001,0.09348610369510334,0.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,0.0,1.0,1.0,1,0.0
96,senior,16132.5,new york,printemps,18,hôtel,989.39,pluie,culture,4,météo,1,0,excellent séjour.,896.25,0.061328994266232756,1.0,1.0,0.0,0.0,amerique du nord,long,1.0,1.0,0.0,1.0,1.0,1,0.0
97,solo,8825.17,sydney,été,13,hôtel,1110.41,variable,plage,4,bagages,1,0,excellent séjour.,678.8592307692307,0.12582307196348627,0.0,1.0,0.0,0.0,oceanie,long,1.0,1.0,1.0,0.0,1.0,1,0.0
98,senior,6880.7,lisbonne,automne,12,villa,1048.48,pluie,culture,2,aucun,0,1,séjour mitigé.,573.3916666666667,0.15237984507390237,0.0,1.0,0.0,1.0,europe,court,0.0,0.0,0.0,0.0,0.0,0,0.0
99,business,4849.39,new york,automne,5,appartement,1166.32,ensoleillé,culture,2,retard_vol,1,0,séjour mitigé.,969.878,0.240508600050728,0.0,0.0,1.0,0.0,amerique du nord,long,1.0,1.0,1.0,0.0,1.0,2,0.0
100,famille,9636.33,rome,automne,19,appartement,941.65,pluie,plage,3,météo,1,1,séjour mitigé.,507.17526315789473,0.09771873732012083,1.0,1.0,0.0,0.0,europe,court,1.0,1.0,0.0,1.0,0.0,1,0.0
101,solo,2721.2,tokyo,printemps,8,appartement,786.53,ensoleillé,plage,2,météo,1,0,séjour mitigé.,340.15,0.28903792444509774,0.0,0.0,0.0,0.0,asie,long,1.0,1.0,0.0,1.0,1.0,1,0.0
102,senior,6521.95,lisbonne,été,11,villa,852.7,variable,culture,4,aucun,0,1,excellent séjour.,592.9045454545454,0.1307431059729069,0.0,1.0,0.0,1.0,europe,court,0.0,0.0,0.0,0.0,0.0,0,0.0
103,senior,3858.48,rome,été,8,hôtel,1150.22,ensoleillé,gastronomie,2,annulation,1,1,séjour mitigé.,482.31,0.2981018432128714,0.0,0.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,0.0,3,0.0
104,couple,3156.94,bali,printemps,5,hôtel,1350.16,variable,culture,2,bagages,1,1,séjour mitigé.,631.388,0.4276799685771665,0.0,1.0,0.0,0.0,asie,long,1.0,1.0,1.0,0.0,0.0,1,0.0
105,famille,3968.49,dubaï,printemps,8,resort,1525.03,ensoleillé,culture,4,aucun,0,1,excellent séjour.,496.06125,0.38428470274588067,0.0,0.0,0.0,1.0,inconnu,inconnu,,0.0,0.0,0.0,0.0,0,0.0
106,senior,9116.45,lisbonne,été,17,hôtel,1031.39,ensoleillé,plage,2,météo,1,0,séjour mitigé.,536.2617647058823,0.11313504708521409,1.0,0.0,0.0,0.0,europe,court,0.0,1.0,0.0,1.0,1.0,1,0.0
107,couple,9210.9,bali,automne,11,villa,1081.01,pluie,culture,3,météo,1,1,séjour mitigé.,837.3545454545455,0.11736203845443985,0.0,1.0,0.0,1.0,asie,long,1.0,1.0,0.0,1.0,0.0,1,0.0
108,solo,9727.07,new york,été,12,villa,1057.71,ensoleillé,culture,3,retard_vol,1,1,séjour mitigé.,810.5891666666666,0.1087388082947897,0.0,0.0,0.0,1.0,amerique du nord,long,1.0,1.0,1.0,0.0,0.0,2,0.0
109,solo,7725.61,dubaï,hiver,16,hôtel,1386.4,nuageux,gastronomie,2,météo,1,1,séjour mitigé.,482.850625,0.17945508510007627,1.0,0.0,0.0,0.0,inconnu,inconnu,,1.0,0.0,1.0,0.0,1,0.0
110,business,6503.22,new york,printemps,7,hôtel,1271.45,ensoleillé,business,2,météo,0,0,séjour mitigé.,929.0314285714286,0.19551083924578902,0.0,0.0,1.0,0.0,amerique du nord,long,1.0,1.0,0.0,1.0,1.0,1,0.0
111,couple,9247.46,new york,été,10,hôtel,1029.43,variable,plage,1,météo,1,0,séjour mitigé.,924.7459999999999,0.11132029768174181,0.0,1.0,0.0,0.0,amerique du nord,long,1.0,1.0,0.0,1.0,1.0,1,0.0
112,senior,5950.06,tokyo,printemps,19,hôtel,729.18,ensoleillé,gastronomie,2,annulation,1,0,séjour mitigé.,313.16105263157897,0.1225500247056332,1.0,0.0,0.0,0.0,asie,long,1.0,1.0,1.0,0.0,1.0,3,0.0
113,business,2027.7,lisbonne,automne,3,hôtel,754.79,nuageux,business,2,aucun,0,0,séjour mitigé.,675.9,0.3722394831582581,0.0,0.0,1.0,0.0,europe,court,0.0,0.0,0.0,0.0,1.0,0,0.0
114,solo,4470.21,rome,hiver,10,resort,1050.5,ensoleillé,plage,3,annulation,1,1,séjour mitigé.,447.021,0.23500014540703903,0.0,0.0,0.0,1.0,europe,court,1.0,1.0,1.0,0.0,0.0,3,0.0
115,couple,5452.0,lisbonne,été,8,appartement,1015.27,pluie,culture,1,météo,1,0,séjour mitigé.,681.5,0.18621973587674248,0.0,1.0,0.0,0.0,europe,court,0.0,1.0,0.0,1.0,1.0,1,0.0
116,couple,4980.55,paris,été,5,appartement,1470.74,ensoleillé,gastronomie,3,retard_vol,1,0,séjour mitigé.,996.11,0.2952967041792573,0.0,0.0,0.0,0.0,europe,court,1.0,1.0,1.0,0.0,1.0,2,0.0
117,famille,5022.84,rome,printemps,13,villa,1266.39,ensoleillé,randonnée,2,météo,0,0,séjour mitigé.,386.3723076923077,0.2521262871204339,0.0,0.0,0.0,1.0,europe,court,1.0,1.0,0.0,1.0,1.0,1,0.0
118,senior,7174.02,rome,été,18,villa,1472.93,ensoleillé,plage,2,retard_vol,1,0,séjour mitigé.,398.5566666666667,0.20531445409965401,1.0,0.0,0.0,1.0,europe,court,1.0,1.0,1.0,0.0,1.0,2,0.0
