trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client,budget_par_jour,part_vol_budget,sejour_long,meteo_risque,client_business,hebergement_luxe,imprevu_present,imprevu_transport,imprevu_meteo,temperature_moyenne_saison,pluie_moyenne_mm,jours_pluie_moyen,vent_max_moyen_kmh,nb_jours_observes,latitude,longitude,source,periode_reference,pm10_moyen,pm2_5_moyen,european_aqi_moyen,uv_index_moyen,heures_observees_air,source_air_quality,periode_reference_air_quality,reste_budget_apres_vol,budget_apres_vol_par_jour,ratio_budget_reference_destination,ratio_prix_vol_reference_destination,score_budget_destination,score_prix_vol_coherent,score_adequation_activite_profil,score_adequation_hebergement_profil,score_meteo_prevue,score_confort_temperature,score_risque_pluie_reel,score_qualite_air,score_contexte_destination,score_potentiel_satisfaction,niveau_risque_satisfaction
21,famille,8186.44,bali,automne,20,appartement,1236.69,variable,business,2,aucun,0,1,séjour mitigé.,409.322,0.1510656646845271,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.3,6.82,61.0,14.71,91.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,14.48,11.69,32.66,2.5,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,6949.75,347.4875,1.3203935483870968,1.0753826086956522,0.9629919354838709,0.5829082125603865,0,1,0.45,0.8166666666666667,0.0,0.789,0.5225333333333333,0.6113,risque_faible
22,solo,10407.99,rome,automne,5,appartement,1617.2,pluie,plage,5,retard_vol,1,0,excellent séjour.,2081.598,0.1553806258461048,0.0,1.0,0.0,0.0,1.0,1.0,0.0,17.21,4.01,24.0,12.75,91.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,13.51,9.22,34.28,0.79,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,8790.789999999999,1758.158,2.6687153846153846,3.593777777777778,1.0,0.0,0,1,0.25,0.6783333333333335,0.0,0.762,0.4660166666666667,0.4859,risque_moyen
23,famille,10261.51,lisbonne,hiver,16,resort,1194.54,ensoleillé,plage,1,bagages,1,0,séjour mitigé.,641.344375,0.1164097681530301,1.0,0.0,0.0,1.0,1.0,1.0,0.0,12.63,2.92,26.0,17.53,90.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,19.66,13.91,36.49,0.38,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,9066.97,566.6856250000001,3.0180911764705884,3.1435263157894737,1.0,0.0,1,1,1.0,0.423888888888889,0.0,0.7251666666666666,0.3659111111111111,0.7439,risque_faible
24,solo,13391.63,dubaï,automne,3,villa,1648.46,pluie,business,5,météo,1,1,excellent séjour.,4463.876666666666,0.1230962922362699,0.0,1.0,0.0,1.0,1.0,0.0,1.0,29.44,0.0,0.0,20.09,91.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,11743.169999999998,3914.39,2.195349180327869,2.354942857142857,1.0,0.0,0,0,0.25,0.6422222222222221,1.0,0.3185,0.6703277777777777,0.3904,risque_eleve
25,famille,5884.06,tokyo,hiver,14,villa,427.89,pluie,culture,1,aucun,0,0,séjour mitigé.,420.29,0.0727201965989469,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.08,0.56,8.0,14.28,90.0,35.6895,139.69171,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,31.02,30.0,55.43,0.51,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,5456.17,389.7264285714286,0.8172305555555556,0.4075142857142857,0.3340381944444444,1.0,1,1,0.25,0.0599999999999999,0.0,0.4095,0.1438499999999999,0.6208,risque_faible
26,couple,954.98,lisbonne,hiver,8,villa,776.88,variable,business,1,retard_vol,1,1,séjour mitigé.,119.3725,0.8135039477266539,0.0,1.0,0.0,1.0,1.0,1.0,0.0,12.63,2.92,26.0,17.53,90.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,19.66,13.91,36.49,0.38,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,178.10000000000002,22.262500000000003,0.2808764705882353,2.044421052631579,0.0,0.0,0,1,0.45,0.423888888888889,0.0,0.7251666666666666,0.3659111111111111,0.2179,risque_eleve
27,senior,14732.22,lisbonne,été,15,resort,631.15,variable,plage,5,bagages,1,1,excellent séjour.,982.148,0.0428414726361675,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.39,0.06,1.0,17.22,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,14101.07,940.0713333333332,4.333005882352941,1.660921052631579,1.0,0.0,0,0,0.45,0.9783333333333332,0.0,0.7851666666666667,0.5779666666666666,0.4034,risque_moyen
28,business,10572.54,lisbonne,été,21,resort,606.79,ensoleillé,culture,5,bagages,1,0,excellent séjour.,503.4542857142857,0.0573930200311372,1.0,0.0,1.0,1.0,1.0,1.0,0.0,23.39,0.06,1.0,17.22,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,9965.75,474.5595238095238,3.1095705882352944,1.596815789473684,1.0,0.0035380116959067,0,0,1.0,0.9783333333333332,0.0,0.7851666666666667,0.5779666666666666,0.47,risque_moyen
29,solo,14826.2,bali,automne,21,villa,1357.46,nuageux,gastronomie,2,retard_vol,1,0,séjour mitigé.,706.0095238095239,0.0915581875328809,1.0,0.0,0.0,1.0,1.0,1.0,0.0,26.3,6.82,61.0,14.71,91.0,-8.65,115.21667,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,14.48,11.69,32.66,2.5,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,13468.740000000002,641.3685714285715,2.391322580645161,1.1804,1.0,0.4662222222222221,0,0,0.7,0.8166666666666667,0.0,0.789,0.5225333333333333,0.5106,risque_moyen
30,business,2403.24,dubaï,été,8,appartement,1727.18,variable,culture,4,météo,1,0,excellent séjour.,300.405,0.7186881043924037,0.0,1.0,1.0,0.0,1.0,0.0,1.0,35.27,0.0,0.0,22.79,92.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,128.17,54.13,71.91,2.19,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,676.0599999999997,84.50749999999996,0.3939737704918032,2.4674,0.0,0.0,0,0,0.45,0.3183333333333331,1.0,0.1348333333333333,0.5018666666666666,0.1142,risque_eleve
31,couple,1497.43,lisbonne,printemps,9,hôtel,1185.28,variable,culture,2,météo,1,0,séjour mitigé.,166.38111111111112,0.7915428434050339,0.0,1.0,0.0,0.0,1.0,0.0,1.0,15.64,3.53,41.0,19.08,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.2,9.48,34.11,1.3,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,312.1500000000001,34.683333333333344,0.4404205882352941,3.119157894736842,0.0,0.0,1,1,0.45,0.5911111111111111,0.0,0.7648333333333334,0.4363388888888889,0.4064,risque_moyen
32,senior,14400.28,new york,automne,20,villa,343.17,pluie,gastronomie,1,retard_vol,1,1,séjour mitigé.,720.014,0.0238307866235934,1.0,1.0,0.0,1.0,1.0,1.0,0.0,13.97,3.07,25.0,15.38,91.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,11.7,11.28,42.27,0.76,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,14057.11,702.8555,2.2154276923076925,0.4037294117647059,1.0,1.0,1,0,0.25,0.4983333333333334,0.0,0.6288333333333334,0.3630666666666667,0.7136,risque_faible
33,famille,11390.91,dubaï,printemps,21,resort,134.0,variable,randonnée,1,bagages,1,0,séjour mitigé.,542.4242857142857,0.0117637660204496,1.0,1.0,0.0,1.0,1.0,1.0,0.0,28.3,0.01,0.0,22.56,92.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,70.72,36.99,63.06,2.2,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,11256.91,536.0433333333333,1.8673622950819675,0.1914285714285714,1.0,1.0,0,1,0.45,0.7055555555555555,1.0,0.2823333333333333,0.6816444444444444,0.7158,risque_faible
34,couple,4132.88,rome,été,7,villa,1348.67,ensoleillé,randonnée,2,météo,1,0,séjour mitigé.,590.4114285714286,0.3263269197266797,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.22,1.32,16.0,14.95,92.0,41.89193,12.51133,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,15.45,9.67,40.74,2.01,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,2784.21,397.7442857142857,1.0597128205128206,2.9970444444444446,0.6371410256410256,0.0,0,1,1.0,0.7655555555555557,0.0,0.6543333333333333,0.4642444444444444,0.4741,risque_moyen
35,business,7427.8,bali,hiver,10,villa,1602.58,variable,gastronomie,1,retard_vol,1,1,séjour mitigé.,742.78,0.2157543283340962,0.0,1.0,1.0,1.0,1.0,1.0,0.0,26.28,11.89,84.0,14.7,90.0,-8.65,115.21667,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,12.8,11.67,33.02,1.96,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,5825.22,582.522,1.1980322580645162,1.3935478260869565,0.8100403225806452,0.2293913043478261,0,0,0.45,0.8177777777777777,0.0,0.7829999999999999,0.5211222222222222,0.3846,risque_eleve
36,couple,8629.37,paris,printemps,4,villa,1796.66,nuageux,culture,2,météo,1,0,séjour mitigé.,2157.3425,0.2082029163194995,0.0,0.0,0.0,1.0,1.0,0.0,1.0,12.44,1.18,26.0,14.07,92.0,48.85341,2.3488,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,15.06,12.04,38.85,0.97,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,6832.710000000001,1708.1775000000002,2.054611904761905,5.133314285714286,1.0,0.0,1,1,0.7,0.4133333333333333,0.0,0.6858333333333333,0.3504166666666666,0.7061,risque_faible
37,couple,9354.51,sydney,été,12,villa,1795.83,ensoleillé,gastronomie,3,bagages,1,1,séjour mitigé.,779.5425,0.1919747800793414,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12.22,4.06,27.0,18.74,92.0,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.19,9.26,31.56,0.49,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,7558.68,629.89,1.16931375,1.3814076923076923,0.7741421874999999,0.2428803418803419,1,1,1.0,0.4011111111111112,0.0,0.8073333333333333,0.3825888888888888,0.7264,risque_faible
38,business,13023.12,new york,printemps,13,hôtel,165.31,ensoleillé,plage,5,aucun,0,0,excellent séjour.,1001.7784615384616,0.0126935788044646,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.04,4.75,36.0,17.46,92.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,12857.81,989.0623076923076,2.003556923076923,0.1944823529411764,1.0,1.0,0,1,1.0,0.3911111111111111,0.0,0.6459999999999999,0.3306888888888888,0.7397,risque_faible
39,senior,853.14,lisbonne,été,6,appartement,577.9,pluie,randonnée,1,retard_vol,1,1,séjour mitigé.,142.19,0.6773800314133671,0.0,1.0,0.0,0.0,1.0,1.0,0.0,23.39,0.06,1.0,17.22,92.0,38.72509,-9.1498,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,19.54,10.92,32.89,2.16,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,275.24,45.873333333333335,0.2509235294117647,1.5207894736842105,0.0,0.0880116959064328,0,1,0.25,0.9783333333333332,0.0,0.7851666666666667,0.5779666666666666,0.2352,risque_eleve
40,senior,5736.58,dubaï,automne,17,villa,164.47,nuageux,culture,5,aucun,0,0,excellent séjour.,337.4458823529412,0.0286703924638024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,29.44,0.0,0.0,20.09,91.0,25.07725,55.30927,Open-Meteo Historical Weather API,2025-09-01/2025-11-30,80.53,41.8,60.89,1.56,2184.0,Open-Meteo Air Quality API,2025-09-01/2025-11-30,5572.11,327.7711764705882,0.940422950819672,0.2349571428571428,0.48802868852459,1.0,1,0,0.7,0.6422222222222221,1.0,0.3185,0.6703277777777777,0.6611,risque_faible
41,business,5227.96,tokyo,été,16,appartement,851.56,pluie,culture,2,bagages,1,0,séjour mitigé.,326.7475,0.162885714504319,1.0,1.0,1.0,0.0,1.0,1.0,0.0,27.71,2.91,31.0,13.49,92.0,35.6895,139.69171,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,24.0,22.42,51.6,1.83,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4376.4,273.525,0.7261055555555556,0.8110095238095237,0.2201319444444444,0.8766560846560847,0,0,0.25,0.7383333333333333,0.0,0.4733333333333333,0.4004166666666666,0.2975,risque_eleve
42,business,5142.1,tokyo,été,15,appartement,954.2,ensoleillé,randonnée,5,bagages,1,1,excellent séjour.,342.8066666666667,0.1855662083584527,1.0,0.0,1.0,0.0,1.0,1.0,0.0,27.71,2.91,31.0,13.49,92.0,35.6895,139.69171,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,24.0,22.42,51.6,1.83,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,4187.900000000001,279.1933333333334,0.7141805555555556,0.9087619047619048,0.2052256944444444,0.7680423280423281,0,0,1.0,0.7383333333333333,0.0,0.4733333333333333,0.4004166666666666,0.3638,risque_eleve
43,solo,13696.57,new york,printemps,10,hôtel,348.33,ensoleillé,business,2,annulation,1,1,séjour mitigé.,1369.657,0.0254319147056525,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.04,4.75,36.0,17.46,92.0,40.71427,-74.00597,Open-Meteo Historical Weather API,2025-03-01/2025-05-31,11.88,11.05,41.24,1.07,2208.0,Open-Meteo Air Quality API,2025-03-01/2025-05-31,13348.24,1334.824,2.1071646153846157,0.4098,1.0,1.0,0,1,1.0,0.3911111111111111,0.0,0.6459999999999999,0.3306888888888888,0.7397,risque_faible
44,solo,13525.7,rome,hiver,3,villa,595.68,nuageux,culture,5,annulation,1,1,excellent séjour.,4508.566666666667,0.0440406041831476,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.23,2.57,28.0,13.79,90.0,41.89193,12.51133,Open-Meteo Historical Weather API,2024-12-01/2025-02-28,20.56,17.01,40.29,0.27,2160.0,Open-Meteo Air Quality API,2024-12-01/2025-02-28,12930.02,4310.006666666667,3.468128205128205,1.3237333333333332,1.0,0.3069629629629631,1,0,0.7,0.235,0.0,0.6618333333333333,0.2807999999999999,0.6329,risque_faible
45,business,4100.91,tokyo,été,14,appartement,750.07,ensoleillé,culture,3,aucun,0,0,séjour mitigé.,292.92214285714283,0.1829033068270213,1.0,0.0,1.0,0.0,0.0,0.0,0.0,27.71,2.91,31.0,13.49,92.0,35.6895,139.69171,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,24.0,22.42,51.6,1.83,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,3350.84,239.34571428571425,0.5695708333333334,0.714352380952381,0.0244635416666666,0.98405291005291,0,0,1.0,0.7383333333333333,0.0,0.4733333333333333,0.4004166666666666,0.352,risque_eleve
46,senior,10110.99,paris,été,14,hôtel,1163.0,nuageux,culture,4,météo,1,0,excellent séjour.,722.2135714285714,0.1150233557742614,1.0,0.0,0.0,0.0,1.0,0.0,1.0,21.05,2.58,30.0,14.41,92.0,48.85341,2.3488,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.28,6.83,31.49,1.5,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,8947.99,639.1421428571429,2.407378571428572,3.322857142857143,1.0,0.0,1,1,0.7,0.8916666666666667,0.0,0.8085,0.5546333333333333,0.7306,risque_faible
47,famille,11526.28,sydney,été,15,villa,1541.26,nuageux,randonnée,1,bagages,1,0,séjour mitigé.,768.4186666666667,0.1337170361990165,1.0,0.0,0.0,1.0,1.0,1.0,0.0,12.22,4.06,27.0,18.74,92.0,-33.86785,151.20732,Open-Meteo Historical Weather API,2025-06-01/2025-08-31,10.19,9.26,31.56,0.49,2208.0,Open-Meteo Air Quality API,2025-06-01/2025-08-31,9985.02,665.668,1.440785,1.1855846153846157,1.0,0.4604615384615383,0,1,0.7,0.4011111111111112,0.0,0.8073333333333333,0.3825888888888888,0.6128,risque_faible
