trip_id,client_type,budget_total,destination,saison,duree_jours,type_hebergement,prix_vol,meteo_prevue,activite_principale,satisfaction_client,imprevus,reorganisation_necessaire,respect_budget,retour_client,reste_budget_apres_vol,budget_apres_vol_par_jour,score_budget_destination,score_prix_vol_coherent,score_adequation_activite_profil,score_meteo_prevue,score_contexte_destination,score_potentiel_satisfaction,niveau_risque_satisfaction
72,solo,2187.78,sydney,hiver,4,appartement,1152.43,variable,business,3,météo,0,1,séjour mitigé.,1035.35,258.83750000000003,0.0,0.7927948717948717,0,0.45,0.5683611111111111,0.3849,risque_eleve
73,famille,12406.78,lisbonne,été,20,appartement,914.14,ensoleillé,gastronomie,1,retard_vol,0,0,séjour mitigé.,11492.64,574.6320000000001,1.0,0.0,1,1.0,0.5779666666666666,0.7694,risque_faible
74,famille,7327.12,rome,hiver,18,appartement,1006.62,pluie,culture,2,retard_vol,1,0,séjour mitigé.,6320.5,351.1388888888889,1.0,0.0,1,0.25,0.2807999999999999,0.6437,risque_faible
75,famille,5316.27,tokyo,été,13,hôtel,688.82,ensoleillé,plage,3,météo,1,1,séjour mitigé.,4627.450000000001,355.95769230769235,0.2354635416666667,1.0,1,1.0,0.4004166666666666,0.594,risque_moyen
76,couple,11518.82,new york,hiver,15,resort,1127.6,nuageux,gastronomie,3,retard_vol,1,1,séjour mitigé.,10391.22,692.7479999999999,1.0,0.3037908496732027,1,0.7,0.1832,0.7407,risque_faible
77,senior,3963.36,tokyo,hiver,10,hôtel,620.57,nuageux,culture,4,retard_vol,1,0,excellent séjour.,3342.79,334.279,0.0005833333333332,1.0,1,0.7,0.1438499999999999,0.5814,risque_moyen
78,business,4004.78,new york,printemps,4,resort,1171.66,variable,culture,3,aucun,0,0,séjour mitigé.,2833.12,708.28,0.0826499999999999,0.2461960784313724,0,0.45,0.3306888888888888,0.1611,risque_eleve
80,solo,2648.94,tokyo,hiver,8,villa,717.25,nuageux,randonnée,2,bagages,0,1,séjour mitigé.,1931.69,241.46125,0.0,1.0,1,0.7,0.1438499999999999,0.4613,risque_moyen
81,couple,7913.09,sydney,été,13,appartement,1085.17,variable,culture,2,retard_vol,1,1,séjour mitigé.,6827.92,525.2246153846154,0.5489203125,0.8502820512820511,1,0.45,0.3825888888888888,0.5867,risque_moyen
82,senior,12784.87,new york,hiver,15,hôtel,1417.32,variable,gastronomie,3,météo,0,0,séjour mitigé.,11367.55,757.8366666666667,1.0,0.0,1,0.45,0.1832,0.656,risque_faible
83,senior,11425.81,new york,hiver,15,villa,1106.9,nuageux,culture,5,aucun,0,1,excellent séjour.,10318.91,687.9273333333333,1.0,0.3308496732026142,1,0.7,0.1832,0.6255,risque_faible
84,famille,14419.35,paris,automne,15,hôtel,1028.22,nuageux,plage,3,bagages,1,1,séjour mitigé.,13391.13,892.7420000000001,1.0,0.0,1,0.7,0.3681277777777778,0.5882,risque_moyen
85,couple,12035.15,bali,hiver,15,villa,1389.27,pluie,culture,2,aucun,0,0,séjour mitigé.,10645.88,709.7253333333333,1.0,0.4354879227053141,1,0.25,0.5211222222222222,0.7509,risque_faible
86,business,5372.11,new york,été,6,appartement,906.04,variable,business,2,annulation,1,0,séjour mitigé.,4466.07,744.3449999999999,0.3455980769230768,0.5934117647058825,1,0.45,0.4609944444444444,0.4929,risque_moyen
87,business,1647.76,dubaï,hiver,3,hôtel,1362.15,pluie,culture,1,retard_vol,0,0,séjour mitigé.,285.6099999999999,95.2033333333333,0.0,0.0,0,0.25,0.42075,0.2005,risque_eleve
88,business,4113.67,lisbonne,automne,7,appartement,638.96,ensoleillé,culture,3,bagages,1,0,séjour mitigé.,3474.71,496.38714285714286,0.8248786764705881,0.0,0,1.0,0.5109277777777776,0.4123,risque_moyen
89,senior,5746.63,lisbonne,été,10,hôtel,724.68,ensoleillé,gastronomie,2,météo,1,0,séjour mitigé.,5021.95,502.195,1.0,0.0,1,1.0,0.5779666666666666,0.7694,risque_faible
90,famille,11511.49,new york,été,13,hôtel,1141.9,variable,plage,4,aucun,0,1,excellent séjour.,10369.59,797.6607692307692,1.0,0.2850980392156861,1,0.45,0.4609944444444444,0.6206,risque_faible
91,famille,17274.55,paris,printemps,20,resort,1357.49,ensoleillé,culture,3,annulation,0,1,séjour mitigé.,15917.06,795.853,1.0,0.0,1,1.0,0.3504166666666666,0.7421,risque_faible
92,couple,5581.32,bali,printemps,7,appartement,1268.48,variable,culture,4,retard_vol,0,0,excellent séjour.,4312.84,616.12,0.4377661290322579,0.5521932367149758,1,0.45,0.5140166666666667,0.5177,risque_moyen
93,famille,14646.06,paris,hiver,16,appartement,1200.91,pluie,culture,2,météo,1,1,séjour mitigé.,13445.15,840.321875,1.0,0.0,1,0.25,0.17495,0.631,risque_faible
94,solo,9807.66,bali,automne,16,resort,1180.83,pluie,gastronomie,1,bagages,1,0,séjour mitigé.,8626.83,539.176875,1.0,0.6368792270531403,0,0.25,0.5225333333333333,0.4873,risque_moyen
95,famille,9233.03,new york,été,10,villa,863.16,ensoleillé,plage,3,météo,1,0,séjour mitigé.,8369.87,836.9870000000001,1.0,0.6494640522875816,1,1.0,0.4609944444444444,0.8722,risque_faible
96,senior,16132.5,new york,printemps,18,hôtel,989.39,pluie,culture,4,météo,1,0,excellent séjour.,15143.11,841.2838888888889,1.0,0.4844575163398694,1,0.25,0.3306888888888888,0.7369,risque_faible
97,solo,8825.17,sydney,été,13,hôtel,1110.41,variable,plage,4,bagages,1,0,excellent séjour.,7714.76,593.4430769230769,0.6914328124999999,0.8287094017094017,0,0.45,0.3825888888888888,0.5627,risque_moyen
98,senior,6880.7,lisbonne,automne,12,villa,1048.48,pluie,culture,2,aucun,0,1,séjour mitigé.,5832.219999999999,486.01833333333326,1.0,0.0,1,0.25,0.5109277777777776,0.5513,risque_moyen
99,business,4849.39,new york,automne,5,appartement,1166.32,ensoleillé,culture,2,retard_vol,1,0,séjour mitigé.,3683.0700000000006,736.6140000000001,0.245075,0.2531764705882354,0,1.0,0.3630666666666667,0.2778,risque_eleve
100,famille,9636.33,rome,automne,19,appartement,941.65,pluie,plage,3,météo,1,1,séjour mitigé.,8694.68,457.6147368421053,1.0,0.0,1,0.25,0.4660166666666667,0.6659,risque_faible
101,solo,2721.2,tokyo,printemps,8,appartement,786.53,ensoleillé,plage,2,météo,1,0,séjour mitigé.,1934.67,241.83375,0.0,0.9454708994708996,0,1.0,0.3183611111111111,0.4484,risque_moyen
102,senior,6521.95,lisbonne,été,11,villa,852.7,variable,culture,4,aucun,0,1,excellent séjour.,5669.25,515.3863636363636,1.0,0.0,1,0.45,0.5779666666666666,0.5834,risque_moyen
103,senior,3858.48,rome,été,8,hôtel,1150.22,ensoleillé,gastronomie,2,annulation,1,1,séjour mitigé.,2708.26,338.5325,0.5491923076923075,0.0,1,1.0,0.4642444444444444,0.6295,risque_faible
104,couple,3156.94,bali,printemps,5,hôtel,1350.16,variable,culture,2,bagages,1,1,séjour mitigé.,1806.78,361.356,0.0,0.4732753623188405,1,0.45,0.5140166666666667,0.5009,risque_moyen
105,famille,3968.49,dubaï,printemps,8,resort,1525.03,ensoleillé,culture,4,aucun,0,1,excellent séjour.,2443.46,305.4325,0.1257151639344261,0.0,1,1.0,0.6816444444444444,0.537,risque_moyen
106,senior,9116.45,lisbonne,été,17,hôtel,1031.39,ensoleillé,plage,2,météo,1,0,séjour mitigé.,8085.06,475.5917647058824,1.0,0.0,0,1.0,0.5779666666666666,0.5894,risque_moyen
107,couple,9210.9,bali,automne,11,villa,1081.01,pluie,culture,3,météo,1,1,séjour mitigé.,8129.889999999999,739.080909090909,1.0,0.7333236714975845,1,0.25,0.5225333333333333,0.8047,risque_faible
108,solo,9727.07,new york,été,12,villa,1057.71,ensoleillé,culture,3,retard_vol,1,1,séjour mitigé.,8669.36,722.4466666666667,1.0,0.3951503267973856,1,1.0,0.4609944444444444,0.7064,risque_faible
109,solo,7725.61,dubaï,hiver,16,hôtel,1386.4,nuageux,gastronomie,2,météo,1,1,séjour mitigé.,6339.209999999999,396.200625,0.8956168032786884,0.0,0,0.7,0.42075,0.5053,risque_moyen
110,business,6503.22,new york,printemps,7,hôtel,1271.45,ensoleillé,business,2,météo,0,0,séjour mitigé.,5231.77,747.3957142857143,0.5631192307692306,0.1157516339869281,1,1.0,0.3306888888888888,0.6382,risque_faible
111,couple,9247.46,new york,été,10,hôtel,1029.43,variable,plage,1,météo,1,0,séjour mitigé.,8218.029999999999,821.8029999999999,1.0,0.4321176470588235,1,0.45,0.4609944444444444,0.7671,risque_faible
112,senior,5950.06,tokyo,printemps,19,hôtel,729.18,ensoleillé,gastronomie,2,annulation,1,0,séjour mitigé.,5220.88,274.78315789473686,0.3454965277777777,1.0,1,1.0,0.3183611111111111,0.7349,risque_faible
113,business,2027.7,lisbonne,automne,3,hôtel,754.79,nuageux,business,2,aucun,0,0,séjour mitigé.,1272.91,424.3033333333333,0.0579779411764705,0.0,1,0.7,0.5109277777777776,0.4615,risque_moyen
114,solo,4470.21,rome,hiver,10,resort,1050.5,ensoleillé,plage,3,annulation,1,1,séjour mitigé.,3419.71,341.971,0.7452596153846153,0.0,0,1.0,0.2807999999999999,0.3624,risque_eleve
115,couple,5452.0,lisbonne,été,8,appartement,1015.27,pluie,culture,1,météo,1,0,séjour mitigé.,4436.73,554.59125,1.0,0.0,1,0.25,0.5779666666666666,0.5594,risque_moyen
116,couple,4980.55,paris,été,5,appartement,1470.74,ensoleillé,gastronomie,3,retard_vol,1,0,séjour mitigé.,3509.8100000000004,701.9620000000001,0.7948065476190477,0.0,1,1.0,0.5546333333333333,0.5891,risque_moyen
117,famille,5022.84,rome,printemps,13,villa,1266.39,ensoleillé,randonnée,2,météo,0,0,séjour mitigé.,3756.45,288.9576923076923,0.9223846153846156,0.0,0,1.0,0.4113722222222222,0.5476,risque_moyen
118,senior,7174.02,rome,été,18,villa,1472.93,ensoleillé,plage,2,retard_vol,1,0,séjour mitigé.,5701.09,316.7272222222222,1.0,0.0,0,1.0,0.4642444444444444,0.4557,risque_moyen
119,couple,3851.98,lisbonne,automne,7,resort,954.07,nuageux,culture,4,aucun,0,1,excellent séjour.,2897.91,413.9871428571428,0.7286691176470589,0.0,1,0.7,0.5109277777777776,0.6493,risque_faible
120,famille,7345.11,bali,printemps,9,appartement,1117.02,variable,culture,2,annulation,1,1,séjour mitigé.,6228.09,692.01,0.793368951612903,0.6985314009661836,1,0.45,0.5140166666666667,0.7636,risque_faible
121,senior,4523.67,lisbonne,printemps,9,villa,954.03,pluie,culture,2,aucun,0,1,séjour mitigé.,3569.6400000000003,396.6266666666667,0.9756139705882352,0.0,1,0.25,0.4363388888888889,0.5355,risque_moyen
122,famille,8902.57,dubaï,hiver,14,resort,1625.48,pluie,plage,2,retard_vol,1,0,séjour mitigé.,7277.09,519.7921428571428,1.0,0.0,1,0.25,0.42075,0.6605,risque_faible
123,business,2830.29,dubaï,hiver,6,villa,1313.67,pluie,business,2,aucun,0,1,séjour mitigé.,1516.62,252.77,0.0,0.0,1,0.25,0.42075,0.2605,risque_eleve
124,solo,3806.16,dubaï,été,6,villa,1630.75,nuageux,randonnée,2,météo,1,1,séjour mitigé.,2175.41,362.5683333333333,0.092450819672131,0.0,1,0.7,0.5018666666666666,0.3501,risque_eleve
125,solo,7191.19,new york,hiver,8,hôtel,673.3,pluie,culture,2,aucun,0,1,séjour mitigé.,6517.889999999999,814.7362499999999,0.6954211538461538,0.8976470588235295,1,0.25,0.1832,0.7083,risque_faible
126,famille,6772.07,rome,automne,14,villa,1438.05,pluie,plage,2,météo,0,1,séjour mitigé.,5334.02,381.00142857142856,1.0,0.0,1,0.25,0.4660166666666667,0.6659,risque_faible
127,business,1153.38,tokyo,printemps,3,resort,759.86,pluie,culture,2,annulation,0,1,séjour mitigé.,393.5200000000001,131.17333333333335,0.0,0.9736931216931216,0,0.25,0.3183611111111111,0.2435,risque_eleve
128,business,1775.0,rome,printemps,4,appartement,1222.8,nuageux,business,3,aucun,0,1,séjour mitigé.,552.2,138.05,0.0,0.0,1,0.7,0.4113722222222222,0.3134,risque_eleve
129,solo,3844.61,bali,été,6,hôtel,1253.71,nuageux,culture,4,aucun,0,0,excellent séjour.,2590.9,431.81666666666666,0.0876229838709677,0.5664637681159419,1,0.7,0.5497055555555554,0.5765,risque_moyen
130,solo,4161.07,tokyo,hiver,11,resort,526.45,pluie,business,3,bagages,0,0,séjour mitigé.,3634.62,330.42,0.0349079861111109,1.0,0,0.25,0.1438499999999999,0.237,risque_eleve
131,solo,9094.75,bali,été,12,villa,1195.94,ensoleillé,plage,4,aucun,0,1,excellent séjour.,7898.809999999999,658.2341666666666,1.0,0.6222801932367149,0,1.0,0.5497055555555554,0.578,risque_moyen
132,couple,7349.93,sydney,automne,13,villa,1256.72,nuageux,gastronomie,4,annulation,1,1,excellent séjour.,6093.21,468.7084615384616,0.4609265625,0.7036581196581195,1,0.7,0.5032777777777777,0.7001,risque_faible
133,solo,6846.09,lisbonne,été,12,villa,1105.59,ensoleillé,randonnée,2,annulation,1,0,séjour mitigé.,5740.5,478.375,1.0,0.0,1,1.0,0.5779666666666666,0.6494,risque_faible
